0 0 0
1 1 2
8 8 16
27 27 54
64 64 128
125 125 250
216 216 432
343 343 686
512 512 1024
729 729 1458
1000 1000 2000
1331 1331 2662
1728 1728 3456
2197 2197 4394
2744 2744 5488
3375 3375 6750
4096 4096 8192
4913 4913 9826
5832 5832 11664
6859 6859 13718
8000 8000 16000
9261 9261 18522
10648 10648 21296
12167 12167 24334
13824 13824 27648
15625 15625 31250
17576 17576 35152
19683 19683 39366
21952 21952 43904
24389 24389 48778
27000 27000 54000
29791 29791 59582
32768 32768 65536
35937 35937 71874
39304 39304 78608
42875 42875 85750
46656 46656 93312
50653 50653 101306
54872 54872 109744
59319 59319 118638
64000 64000 128000
68921 68921 137842
74088 74088 148176
79507 79507 159014
85184 85184 170368
91125 91125 182250
97336 97336 194672
103823 103823 207646
110592 110592 221184
117649 117649 235298
125000 125000 250000
132651 132651 265302
140608 140608 281216
148877 148877 297754
157464 157464 314928
166375 166375 332750
175616 175616 351232
185193 185193 370386
195112 195112 390224
205379 205379 410758
216000 216000 432000
226981 226981 453962
238328 238328 476656
250047 250047 500094
262144 262144 524288
274625 274625 549250
287496 287496 574992
300763 300763 601526
314432 314432 628864
328509 328509 657018
343000 343000 686000
357911 357911 715822
373248 373248 746496
389017 389017 778034
405224 405224 810448
421875 421875 843750
438976 438976 877952
456533 456533 913066
474552 474552 949104
493039 493039 986078
512000 512000 1024000
531441 531441 1062882
551368 551368 1102736
571787 571787 1143574
592704 592704 1185408
614125 614125 1228250
636056 636056 1272112
658503 658503 1317006
681472 681472 1362944
704969 704969 1409938
729000 729000 1458000
753571 753571 1507142
778688 778688 1557376
804357 804357 1608714
830584 830584 1661168
857375 857375 1714750
884736 884736 1769472
912673 912673 1825346
941192 941192 1882384
970299 970299 1940598
1000000 1000000 2000000
1030301 1030301 2060602
1061208 1061208 2122416
1092727 1092727 2185454
1124864 1124864 2249728
1157625 1157625 2315250
1191016 1191016 2382032
1225043 1225043 2450086
1259712 1259712 2519424
1295029 1295029 2590058
1331000 1331000 2662000
1367631 1367631 2735262
1404928 1404928 2809856
1442897 1442897 2885794
1481544 1481544 2963088
1520875 1520875 3041750
1560896 1560896 3121792
1601613 1601613 3203226
1643032 1643032 3286064
1685159 1685159 3370318
1728000 1728000 3456000
1771561 1771561 3543122
1815848 1815848 3631696
1860867 1860867 3721734
1906624 1906624 3813248
1953125 1953125 3906250
2000376 2000376 4000752
2048383 2048383 4096766
2097152 2097152 4194304
2146689 2146689 4293378
2197000 2197000 4394000
2248091 2248091 4496182
2299968 2299968 4599936
2352637 2352637 4705274
2406104 2406104 4812208
2460375 2460375 4920750
2515456 2515456 5030912
2571353 2571353 5142706
2628072 2628072 5256144
2685619 2685619 5371238
2744000 2744000 5488000
2803221 2803221 5606442
2863288 2863288 5726576
2924207 2924207 5848414
2985984 2985984 5971968
3048625 3048625 6097250
3112136 3112136 6224272
3176523 3176523 6353046
3241792 3241792 6483584
3307949 3307949 6615898
